year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Normalized year;Normalized month;Normalized day;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;11;10;30;43;0;1.19;1.0;0.5;0.3548387096774194;0.43478260869565216;1.0;0.3944954128440367;0.0;0.050021017234131986;0.2;0
2016;1;10;11;30;34;0;0.0;1.0;0.5;0.3225806451612903;0.4782608695652174;1.0;0.3119266055045872;0.0;0.0;0.0;0
2016;1;7;2;30;11;0;0.0;1.0;0.5;0.22580645161290322;0.08695652173913043;1.0;0.10091743119266056;0.0;0.0;0.0;0
2016;1;13;20;30;49;0;0.0;1.0;0.5;0.41935483870967744;0.8695652173913043;1.0;0.44954128440366975;0.0;0.0;0.0;0
2016;1;20;0;0;34;0;0.0;1.0;0.5;0.6451612903225806;0.0;0.0;0.3119266055045872;0.0;0.0;0.0;0
2016;1;12;1;0;22;0;0.0;1.0;0.5;0.3870967741935484;0.043478260869565216;0.0;0.2018348623853211;0.0;0.0;0.0;0
2016;1;22;3;0;18;0;0.0;1.0;0.5;0.7096774193548387;0.13043478260869565;0.0;0.1651376146788991;0.0;0.0;0.0;0
2016;1;23;11;30;39;0;0.0;1.0;0.5;0.7419354838709677;0.4782608695652174;1.0;0.3577981651376147;0.0;0.0;0.0;0
2016;1;16;5;30;3;0;0.0;1.0;0.5;0.5161290322580645;0.21739130434782608;1.0;0.027522935779816515;0.0;0.0;0.0;0
2016;1;13;21;0;48;0;0.0;1.0;0.5;0.41935483870967744;0.9130434782608695;0.0;0.44036697247706424;0.0;0.0;0.0;0
2016;1;30;19;30;79;0;0.0;1.0;0.5;0.967741935483871;0.8260869565217391;1.0;0.7247706422018348;0.0;0.0;0.0;0
2016;1;30;18;0;64;1;0.0;1.0;0.5;0.967741935483871;0.782608695652174;0.0;0.5871559633027523;0.25;0.0;0.0;0
2016;1;8;13;0;43;0;0.0;1.0;0.5;0.25806451612903225;0.5652173913043478;0.0;0.3944954128440367;0.0;0.0;0.0;0
2016;1;21;11;30;41;0;0.0;1.0;0.5;0.6774193548387096;0.4782608695652174;1.0;0.3761467889908257;0.0;0.0;0.0;0
2016;1;6;0;30;23;0;0.0;1.0;0.5;0.1935483870967742;0.0;1.0;0.21100917431192662;0.0;0.0;0.0;0
2016;1;20;19;0;49;0;0.0;1.0;0.5;0.6451612903225806;0.8260869565217391;0.0;0.44954128440366975;0.0;0.0;0.0;0
2016;1;31;11;0;50;0;0.0;1.0;0.5;1.0;0.4782608695652174;0.0;0.45871559633027525;0.0;0.0;0.0;0
2016;1;25;3;30;11;0;0.0;1.0;0.5;0.8064516129032258;0.13043478260869565;1.0;0.10091743119266056;0.0;0.0;0.0;0
2016;1;25;21;30;76;0;0.61;1.0;0.5;0.8064516129032258;0.9130434782608695;1.0;0.6972477064220184;0.0;0.02564102564102564;8.07;1
2016;1;18;0;0;41;0;0.0;1.0;0.5;0.5806451612903226;0.0;0.0;0.3761467889908257;0.0;0.0;0.0;0
2016;1;8;17;30;36;0;0.0;1.0;0.5;0.25806451612903225;0.7391304347826086;1.0;0.3302752293577982;0.0;0.0;0.0;0
2016;1;6;0;0;37;0;0.0;1.0;0.5;0.1935483870967742;0.0;0.0;0.3394495412844037;0.0;0.0;0.0;0
2016;1;12;10;0;26;0;0.2;1.0;0.5;0.3870967741935484;0.43478260869565216;0.0;0.23853211009174313;0.0;0.008406893652795292;0.99;0
2016;1;13;6;30;17;0;0.0;1.0;0.5;0.41935483870967744;0.2608695652173913;1.0;0.1559633027522936;0.0;0.0;0.0;0
2016;1;20;16;30;42;0;0.0;1.0;0.5;0.6451612903225806;0.6956521739130435;1.0;0.3853211009174312;0.0;0.0;0.0;0
2016;1;30;22;30;45;0;0.0;1.0;0.5;0.967741935483871;0.9565217391304348;1.0;0.41284403669724773;0.0;0.0;0.0;0
2016;1;14;8;0;29;0;0.0;1.0;0.5;0.45161290322580644;0.34782608695652173;0.0;0.26605504587155965;0.0;0.0;0.0;0
2016;1;24;21;0;65;0;0.0;1.0;0.5;0.7741935483870968;0.9130434782608695;0.0;0.5963302752293578;0.0;0.0;0.0;0
2016;1;5;10;0;27;0;0.0;1.0;0.5;0.16129032258064516;0.43478260869565216;0.0;0.24770642201834864;0.0;0.0;0.0;0
2016;1;8;6;0;10;0;0.0;1.0;0.5;0.25806451612903225;0.2608695652173913;0.0;0.09174311926605505;0.0;0.0;0.0;0
2016;1;22;14;0;38;0;0.0;1.0;0.5;0.7096774193548387;0.6086956521739131;0.0;0.3486238532110092;0.0;0.0;0.0;0
2016;1;8;5;0;3;0;0.0;1.0;0.5;0.25806451612903225;0.21739130434782608;0.0;0.027522935779816515;0.0;0.0;0.0;0
2016;1;2;7;0;3;0;0.0;1.0;0.5;0.06451612903225806;0.30434782608695654;0.0;0.027522935779816515;0.0;0.0;0.0;0
2016;1;28;18;30;55;0;0.0;1.0;0.5;0.9032258064516129;0.782608695652174;1.0;0.5045871559633027;0.0;0.0;0.0;0
2016;1;20;7;0;8;0;0.0;1.0;0.5;0.6451612903225806;0.30434782608695654;0.0;0.07339449541284404;0.0;0.0;0.0;0
2016;1;31;0;0;65;0;0.0;1.0;0.5;1.0;0.0;0.0;0.5963302752293578;0.0;0.0;0.0;0
2016;1;15;23;30;57;0;0.0;1.0;0.5;0.4838709677419355;1.0;1.0;0.5229357798165137;0.0;0.0;0.0;0
2016;1;15;19;0;50;1;0.0;1.0;0.5;0.4838709677419355;0.8260869565217391;0.0;0.45871559633027525;0.25;0.0;0.2;0
2016;1;26;1;0;30;0;1.76;1.0;0.5;0.8387096774193549;0.043478260869565216;0.0;0.27522935779816515;0.0;0.07398066414459857;0.0;0
2016;1;12;21;0;51;0;0.0;1.0;0.5;0.3870967741935484;0.9130434782608695;0.0;0.46788990825688076;0.0;0.0;0.0;0
2016;1;31;15;0;75;0;0.0;1.0;0.5;1.0;0.6521739130434783;0.0;0.6880733944954128;0.0;0.0;0.0;0
2016;1;29;21;30;69;0;0.0;1.0;0.5;0.9354838709677419;0.9130434782608695;1.0;0.6330275229357798;0.0;0.0;0.0;0
2016;1;24;22;0;68;0;0.0;1.0;0.5;0.7741935483870968;0.9565217391304348;0.0;0.6238532110091743;0.0;0.0;0.0;0
2016;1;23;7;0;11;0;0.0;1.0;0.5;0.7419354838709677;0.30434782608695654;0.0;0.10091743119266056;0.0;0.0;0.0;0
2016;1;23;13;0;65;0;0.0;1.0;0.5;0.7419354838709677;0.5652173913043478;0.0;0.5963302752293578;0.0;0.0;0.0;0
2016;1;5;22;30;42;0;0.0;1.0;0.5;0.16129032258064516;0.9565217391304348;1.0;0.3853211009174312;0.0;0.0;0.0;0
2016;1;11;4;30;6;0;0.6;1.0;0.5;0.3548387096774194;0.17391304347826086;1.0;0.05504587155963303;0.0;0.025220680958385876;0.2;0
2016;1;5;4;0;4;0;0.0;1.0;0.5;0.16129032258064516;0.17391304347826086;0.0;0.03669724770642202;0.0;0.0;0.0;0
2016;1;27;1;30;12;0;0.0;1.0;0.5;0.8709677419354839;0.043478260869565216;1.0;0.11009174311926606;0.0;0.0;0.0;0
2016;1;2;18;30;31;0;0.2;1.0;0.5;0.06451612903225806;0.782608695652174;1.0;0.28440366972477066;0.0;0.008406893652795292;0.0;0
2016;1;30;2;0;28;0;0.0;1.0;0.5;0.967741935483871;0.08695652173913043;0.0;0.25688073394495414;0.0;0.0;0.0;0
2016;1;24;23;0;57;0;0.0;1.0;0.5;0.7741935483870968;1.0;0.0;0.5229357798165137;0.0;0.0;0.0;0
2016;1;3;9;30;10;0;0.0;1.0;0.5;0.0967741935483871;0.391304347826087;1.0;0.09174311926605505;0.0;0.0;0.0;0
2016;1;29;1;0;25;0;0.0;1.0;0.5;0.9354838709677419;0.043478260869565216;0.0;0.22935779816513763;0.0;0.0;0.0;0
2016;1;17;0;30;46;0;0.0;1.0;0.5;0.5483870967741935;0.0;1.0;0.42201834862385323;0.0;0.0;0.0;0
2016;1;21;3;0;7;0;0.0;1.0;0.5;0.6774193548387096;0.13043478260869565;0.0;0.06422018348623854;0.0;0.0;0.0;0
2016;1;20;5;0;3;0;0.0;1.0;0.5;0.6451612903225806;0.21739130434782608;0.0;0.027522935779816515;0.0;0.0;0.0;0
2016;1;27;4;30;5;0;0.0;1.0;0.5;0.8709677419354839;0.17391304347826086;1.0;0.045871559633027525;0.0;0.0;0.0;0
2016;1;28;1;30;14;0;0.0;1.0;0.5;0.9032258064516129;0.043478260869565216;1.0;0.12844036697247707;0.0;0.0;0.0;0
2016;1;13;5;0;5;0;0.0;1.0;0.5;0.41935483870967744;0.21739130434782608;0.0;0.045871559633027525;0.0;0.0;0.0;0
2016;1;24;3;0;15;0;0.0;1.0;0.5;0.7741935483870968;0.13043478260869565;0.0;0.13761467889908258;0.0;0.0;0.0;0
2016;1;12;2;0;5;0;0.0;1.0;0.5;0.3870967741935484;0.08695652173913043;0.0;0.045871559633027525;0.0;0.0;0.2;0
2016;1;24;1;30;25;0;0.0;1.0;0.5;0.7741935483870968;0.043478260869565216;1.0;0.22935779816513763;0.0;0.0;0.0;0
2016;1;31;23;0;0;0;0.0;1.0;0.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0
2016;1;31;20;0;69;0;0.0;1.0;0.5;1.0;0.8695652173913043;0.0;0.6330275229357798;0.0;0.0;0.0;0
2016;1;31;19;30;76;0;0.0;1.0;0.5;1.0;0.8260869565217391;1.0;0.6972477064220184;0.0;0.0;0.0;0
2016;1;26;20;0;61;0;0.0;1.0;0.5;0.8387096774193549;0.8695652173913043;0.0;0.5596330275229358;0.0;0.0;0.0;0
2016;1;21;11;0;47;0;0.0;1.0;0.5;0.6774193548387096;0.4782608695652174;0.0;0.43119266055045874;0.0;0.0;0.0;0
2016;1;20;15;30;37;0;0.0;1.0;0.5;0.6451612903225806;0.6521739130434783;1.0;0.3394495412844037;0.0;0.0;0.0;0
