year;month;day;hour;minute;tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;6;20;0;62;0;0.0;0.0;fraca
2016;1;24;21;0;5;0;0.0;0.0;fraca
2016;1;21;0;30;0;0;0.0;0.0;fraca
2016;1;23;0;0;9;0;0.0;0.0;fraca
2016;1;29;21;30;4;0;0.0;0.0;fraca
2016;1;11;5;30;4;0;0.2;0.59;fraca
2016;1;15;16;30;6;0;0.0;0.0;fraca
2016;1;13;22;0;13;0;0.0;0.0;fraca
2016;1;30;12;0;6;0;0.0;0.0;fraca
2016;1;27;4;0;0;0;0.0;0.0;fraca
2016;1;8;19;30;5;0;0.0;0.0;fraca
2016;1;9;7;0;2;0;0.0;0.0;fraca
2016;1;27;23;30;2;0;0.0;0.0;fraca
2016;1;16;16;0;4;0;0.0;0.0;fraca
2016;1;5;5;30;7;0;0.0;0.0;fraca
2016;1;15;4;30;0;0;0.2;0.0;fraca
2016;1;15;6;0;0;0;0.0;0.0;fraca
2016;1;31;20;0;8;0;0.0;0.0;fraca
2016;1;17;20;0;3;0;0.0;0.0;fraca
2016;1;1;8;0;0;0;0.0;0.0;fraca
2016;1;4;11;30;5;0;0.0;0.0;fraca
2016;1;25;4;0;0;0;0.0;0.0;fraca
2016;1;25;7;30;2;0;0.0;0.0;fraca
2016;1;1;6;0;0;0;0.0;0.0;fraca
2016;1;17;22;0;7;0;0.0;0.0;fraca
2016;1;28;14;30;9;0;0.0;0.0;fraca
2016;1;15;2;30;7;0;0.79;0.0;fraca
2016;1;25;20;0;6;0;0.0;0.0;fraca
2016;1;20;10;30;7;0;0.0;0.0;fraca
2016;1;20;2;30;0;0;0.0;0.0;fraca
2016;1;27;3;30;0;0;0.0;0.0;fraca
2016;1;25;4;30;0;0;0.0;0.0;fraca
2016;1;5;21;30;22;0;0.0;0.0;fraca
2016;1;29;7;30;14;0;0.0;0.0;fraca
2016;1;7;8;0;31;0;0.0;0.0;fraca
2016;1;9;11;30;2;0;0.0;0.0;fraca
2016;1;16;19;0;11;0;0.0;0.0;fraca
2016;1;30;8;30;6;0;0.0;0.0;fraca
2016;1;17;4;30;1;0;0.0;0.0;fraca
2016;1;22;3;30;0;0;0.0;0.0;fraca
2016;1;19;5;0;3;0;0.0;0.0;fraca
2016;1;16;8;0;6;1;0.0;0.0;fraca
2016;1;20;9;0;16;0;0.0;0.0;fraca
2016;1;13;17;30;24;0;0.0;0.0;fraca
2016;1;28;23;0;2;0;0.0;0.0;fraca
2016;1;28;9;0;6;0;0.0;0.0;fraca
2016;1;25;1;30;1;0;0.0;0.0;fraca
2016;1;5;21;0;6;0;0.0;0.0;fraca
2016;1;16;4;0;0;0;0.0;0.0;fraca
2016;1;12;15;30;5;0;0.0;0.0;fraca
2016;1;18;19;0;4;0;0.0;0.0;fraca
2016;1;6;16;30;11;0;0.0;0.0;fraca
2016;1;21;0;0;2;0;0.4;0.0;fraca
2016;1;13;16;30;17;0;0.0;0.0;fraca
2016;1;30;4;30;1;0;0.0;0.0;fraca
2016;1;4;16;0;9;0;0.0;0.0;fraca
2016;1;5;13;0;13;0;0.0;0.0;fraca
2016;1;12;19;30;13;0;0.0;0.0;fraca
2016;1;4;1;30;0;0;0.0;0.0;fraca
2016;1;21;3;30;1;0;0.0;0.0;fraca
2016;1;2;21;30;0;0;0.0;0.0;fraca
2016;1;9;19;0;0;0;0.0;2.56;moderada
2016;1;7;14;30;6;0;0.0;0.0;fraca
2016;1;4;22;0;2;0;0.0;0.0;fraca
2016;1;1;9;0;0;0;0.0;0.0;fraca
2016;1;2;5;30;0;0;0.59;0.0;fraca
2016;1;31;21;30;10;0;0.0;0.0;fraca
2016;1;4;0;0;9;0;0.0;0.0;fraca
2016;1;24;8;30;0;0;0.0;0.0;fraca
2016;1;12;12;0;11;0;0.0;0.0;fraca
2016;1;9;1;0;2;0;0.0;0.0;fraca
2016;1;4;18;0;6;0;0.0;0.0;fraca
2016;1;20;19;0;4;0;0.0;0.0;fraca
2016;1;10;20;0;3;0;0.0;0.4;fraca
2016;1;12;5;0;5;0;0.2;0.4;fraca
2016;1;22;17;30;7;0;0.0;0.0;fraca
2016;1;26;6;30;4;0;0.0;0.0;fraca
2016;1;22;15;0;4;0;0.0;0.0;fraca
2016;1;29;14;30;7;0;0.0;0.0;fraca
2016;1;15;9;30;9;0;0.0;0.0;fraca
2016;1;22;8;30;5;0;0.0;0.0;fraca
2016;1;11;13;30;29;0;0.0;0.2;fraca
2016;1;10;0;30;0;0;0.0;0.2;fraca
2016;1;28;7;0;5;0;0.0;0.0;fraca
2016;1;28;9;30;7;0;0.0;0.0;fraca
2016;1;5;0;0;2;0;0.0;0.0;fraca
2016;1;16;10;0;7;0;0.0;0.0;fraca
2016;1;12;7;0;2;1;0.0;0.0;fraca
2016;1;27;15;0;4;0;0.0;0.0;fraca
2016;1;27;13;30;9;0;0.0;0.0;fraca
2016;1;17;2;30;0;0;0.0;0.0;fraca
2016;1;28;8;0;4;0;0.0;0.0;fraca
2016;1;6;23;0;5;0;0.0;0.0;fraca
2016;1;23;3;30;1;0;0.0;0.0;fraca
2016;1;5;9;0;3;0;0.0;0.0;fraca
2016;1;6;1;0;18;0;0.0;0.0;fraca
2016;1;27;8;30;3;0;0.0;0.0;fraca
2016;1;19;11;0;4;0;0.0;0.0;fraca
2016;1;13;2;0;1;0;0.0;0.0;fraca
2016;1;20;8;0;4;0;0.0;0.0;fraca
2016;1;9;3;0;0;0;0.0;0.0;fraca
2016;1;5;8;30;4;0;0.0;0.0;fraca
2016;1;1;15;30;4;0;0.0;0.0;fraca
2016;1;28;7;30;4;0;0.0;0.0;fraca
2016;1;1;17;30;13;0;0.0;0.0;fraca
2016;1;20;16;30;8;0;0.0;0.0;fraca
2016;1;20;9;30;7;0;0.0;0.0;fraca
2016;1;22;0;30;0;0;0.0;0.0;fraca
2016;1;29;15;0;13;0;0.0;0.0;fraca
2016;1;1;7;0;0;0;0.0;0.0;fraca
2016;1;20;5;30;3;0;0.0;0.0;fraca
2016;1;28;5;30;3;0;0.0;0.0;fraca
2016;1;25;2;30;2;0;0.0;0.0;fraca
2016;1;24;18;0;8;0;0.39;0.4;fraca
2016;1;24;8;0;1;0;0.0;0.0;fraca
2016;1;27;20;30;8;0;0.6;1.57;fraca
2016;1;20;6;0;1;0;0.0;0.0;fraca
2016;1;15;12;0;11;0;0.0;0.0;fraca
2016;1;17;15;0;4;0;0.0;0.0;fraca
2016;1;2;3;0;0;0;0.0;0.0;fraca
2016;1;4;13;30;3;0;0.0;0.0;fraca
2016;1;11;3;30;0;0;0.0;0.59;fraca
2016;1;4;22;30;2;0;0.0;0.0;fraca
2016;1;3;15;0;12;0;0.0;0.0;fraca
2016;1;12;23;30;11;0;0.0;0.0;fraca
2016;1;3;9;0;5;0;0.0;0.2;fraca
2016;1;31;2;30;0;0;0.0;0.0;fraca
2016;1;3;1;30;0;0;0.0;0.0;fraca
2016;1;31;14;0;10;0;0.0;0.0;fraca
2016;1;4;0;30;4;0;0.0;0.0;fraca
2016;1;23;22;30;2;0;0.0;0.0;fraca
2016;1;24;2;0;1;0;0.0;0.0;fraca
2016;1;5;17;30;1;0;0.0;0.0;fraca
2016;1;3;19;0;26;0;0.0;0.0;fraca
2016;1;9;22;0;0;0;1.18;0.6;fraca
2016;1;19;3;30;0;0;0.0;0.0;fraca
2016;1;8;15;0;4;0;0.0;0.0;fraca
2016;1;31;23;30;0;0;0.0;0.0;fraca
2016;1;29;13;30;6;0;0.0;0.0;fraca
2016;1;27;19;30;2;0;2.16;1.38;fraca
2016;1;12;16;0;3;0;0.0;0.0;fraca
2016;1;7;7;30;22;0;0.0;0.0;fraca
2016;1;29;12;30;14;0;0.0;0.0;fraca
2016;1;9;2;0;0;0;0.0;0.0;fraca
2016;1;22;12;0;7;0;0.0;0.0;fraca
2016;1;27;11;30;6;0;0.0;0.0;fraca
2016;1;11;11;30;6;0;0.0;0.0;fraca
2016;1;1;8;30;0;0;0.0;0.0;fraca
2016;1;26;4;0;0;0;0.2;0.0;fraca
2016;1;8;21;0;10;0;0.0;0.0;fraca
2016;1;14;14;30;6;0;0.0;0.0;fraca
2016;1;29;8;0;3;0;0.0;0.0;fraca
2016;1;26;1;30;0;0;0.0;0.0;fraca
