hour;minute;tweets;related;rainfall class;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall class;Next batch rainfall class
23;0;4;0;0.0;1.0;0.0;0.3076923076923077;0.0;0.0;0
22;0;0;0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0
9;30;0;0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0
8;30;2;0;0.0;0.34782608695652173;1.0;0.15384615384615385;0.0;0.0;0
14;30;1;0;0.0;0.6086956521739131;1.0;0.07692307692307693;0.0;0.0;0
13;0;4;0;0.0;0.5652173913043478;0.0;0.3076923076923077;0.0;0.0;0
13;30;3;0;0.0;0.5652173913043478;1.0;0.23076923076923078;0.0;0.0;0
21;0;4;0;0.0;0.9130434782608695;0.0;0.3076923076923077;0.0;0.0;0
9;30;2;0;0.0;0.391304347826087;1.0;0.15384615384615385;0.0;0.0;0
16;0;1;0;0.0;0.6956521739130435;0.0;0.07692307692307693;0.0;0.0;0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0
11;0;2;0;0.2;0.4782608695652174;0.0;0.15384615384615385;0.0;0.01182033096926714;0
22;30;3;0;0.0;0.9565217391304348;1.0;0.23076923076923078;0.0;0.0;0
21;0;1;0;0.0;0.9130434782608695;0.0;0.07692307692307693;0.0;0.0;0
7;30;1;0;0.0;0.30434782608695654;1.0;0.07692307692307693;0.0;0.0;0
10;0;0;0;0.0;0.43478260869565216;0.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0
18;30;1;0;0.0;0.782608695652174;1.0;0.07692307692307693;0.0;0.0;0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0
14;0;0;0;0.0;0.6086956521739131;0.0;0.0;0.0;0.0;0
12;30;9;0;0.0;0.5217391304347826;1.0;0.6923076923076923;0.0;0.0;0
21;0;0;0;0.0;0.9130434782608695;0.0;0.0;0.0;0.0;0
21;0;0;0;4.12;0.9130434782608695;0.0;0.0;0.0;0.24349881796690306;0
17;30;1;0;0.0;0.7391304347826086;1.0;0.07692307692307693;0.0;0.0;0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0
3;0;3;0;0.0;0.13043478260869565;0.0;0.23076923076923078;0.0;0.0;0
9;30;0;0;1.57;0.391304347826087;1.0;0.0;0.0;0.09278959810874704;0
20;0;2;0;0.2;0.8695652173913043;0.0;0.15384615384615385;0.0;0.01182033096926714;0
12;30;2;0;0.0;0.5217391304347826;1.0;0.15384615384615385;0.0;0.0;0
22;0;1;0;0.0;0.9565217391304348;0.0;0.07692307692307693;0.0;0.0;0
