hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
14;30;6;0;0.2;0.6086956521739131;1.0;0.10526315789473684;0.0;0.005509641873278238;0.6;0
16;30;11;0;0.0;0.6956521739130435;1.0;0.19298245614035087;0.0;0.0;0.2;0
11;30;8;0;0.0;0.4782608695652174;1.0;0.14035087719298245;0.0;0.0;0.0;0
18;0;0;0;0.0;0.782608695652174;0.0;0.0;0.0;0.0;0.0;0
1;0;5;0;0.0;0.043478260869565216;0.0;0.08771929824561403;0.0;0.0;0.0;0
1;30;5;0;0.0;0.043478260869565216;1.0;0.08771929824561403;0.0;0.0;0.0;0
15;0;10;0;0.0;0.6521739130434783;0.0;0.17543859649122806;0.0;0.0;0.0;0
19;0;15;0;0.0;0.8260869565217391;0.0;0.2631578947368421;0.0;0.0;0.0;0
19;0;20;0;0.0;0.8260869565217391;0.0;0.3508771929824561;0.0;0.0;0.0;0
20;0;31;0;0.0;0.8695652173913043;0.0;0.543859649122807;0.0;0.0;0.0;0
10;0;4;0;0.0;0.43478260869565216;0.0;0.07017543859649122;0.0;0.0;0.0;0
23;30;3;0;0.0;1.0;1.0;0.05263157894736842;0.0;0.0;0.0;0
4;0;1;0;0.0;0.17391304347826086;0.0;0.017543859649122806;0.0;0.0;0.0;0
6;30;3;0;0.2;0.2608695652173913;1.0;0.05263157894736842;0.0;0.005509641873278238;0.0;0
21;0;22;0;0.0;0.9130434782608695;0.0;0.38596491228070173;0.0;0.0;0.0;0
9;30;22;0;0.0;0.391304347826087;1.0;0.38596491228070173;0.0;0.0;0.0;0
0;0;5;0;0.0;0.0;0.0;0.08771929824561403;0.0;0.0;0.0;0
21;0;23;0;0.0;0.9130434782608695;0.0;0.40350877192982454;0.0;0.0;0.0;0
6;30;8;0;0.0;0.2608695652173913;1.0;0.14035087719298245;0.0;0.0;0.0;0
12;0;18;0;0.0;0.5217391304347826;0.0;0.3157894736842105;0.0;0.0;0.0;0
15;0;11;0;0.6;0.6521739130434783;0.0;0.19298245614035087;0.0;0.01652892561983471;0.4;0
1;30;3;0;0.0;0.043478260869565216;1.0;0.05263157894736842;0.0;0.0;0.0;0
17;30;9;0;0.2;0.7391304347826086;1.0;0.15789473684210525;0.0;0.005509641873278238;0.2;0
13;0;20;0;0.0;0.5652173913043478;0.0;0.3508771929824561;0.0;0.0;0.0;0
16;30;28;0;0.0;0.6956521739130435;1.0;0.49122807017543857;0.0;0.0;0.0;0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0
22;30;9;0;0.0;0.9565217391304348;1.0;0.15789473684210525;0.0;0.0;0.0;0
0;30;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0
4;30;1;0;0.2;0.17391304347826086;1.0;0.017543859649122806;0.0;0.005509641873278238;0.0;0
4;0;0;0;1.17;0.17391304347826086;0.0;0.0;0.0;0.032231404958677684;1.37;0
15;30;8;0;0.0;0.6521739130434783;1.0;0.14035087719298245;0.0;0.0;0.0;0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0
8;30;11;0;0.0;0.34782608695652173;1.0;0.19298245614035087;0.0;0.0;0.0;0
