year;month;day;hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
2016;1;6;0;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;13;6;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;7;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;24;2;30;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;12;22;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;25;0;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;17;0;0;0;0.2;0.0;0.0;0.0;fraca
2016;1;18;5;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;7;30;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;0;30;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;17;0;10;0;0.0;0.0;0.0;0.0;fraca
2016;1;14;3;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;2;0;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;15;30;13;0;0.0;0.0;0.0;0.0;fraca
2016;1;4;4;30;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;20;30;17;0;0.0;0.0;0.0;0.0;fraca
2016;1;8;9;0;9;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;13;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;14;30;15;2;0.0;8.287956770017487e-06;0.0032258064516129032;0.0;fraca
2016;1;10;20;0;17;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;12;30;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;9;9;30;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;23;0;0;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;5;0;2;0;0.0;0.0;0.0;0.0;fraca
2016;1;2;1;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;11;4;30;2;1;0.79;4.143978385008743e-06;0.0016129032258064516;0.2;fraca
2016;1;8;5;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;17;9;0;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;5;9;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;9;0;5;0;0.0;0.0;0.0;0.0;fraca
2016;1;16;9;0;8;0;0.0;0.0;0.0;0.0;fraca
2016;1;7;12;0;6;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;0;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;27;7;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;3;7;30;4;0;0.0;0.0;0.0;0.0;fraca
2016;1;31;13;0;30;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;14;0;14;0;0.0;0.0;0.0;0.0;fraca
2016;1;1;11;30;3;0;0.0;0.0;0.0;0.0;fraca
2016;1;18;19;0;16;0;0.0;0.0;0.0;0.0;fraca
2016;1;23;4;30;1;0;0.0;0.0;0.0;0.0;fraca
2016;1;29;17;0;7;0;0.0;0.0;0.0;0.0;fraca
2016;1;22;23;30;12;0;0.0;0.0;0.0;0.0;fraca
2016;1;28;1;0;9;0;0.0;0.0;0.0;0.0;fraca
