hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Next batch rainfall (mm/30min);Next batch rainfall class
8;0;3;0;0.0;0.0;0.0;0.0;fraca
3;0;2;0;0.0;0.0;0.0;0.0;fraca
21;30;11;0;0.0;0.0;0.0;0.0;fraca
15;0;6;0;0.0;0.0;0.0;0.0;fraca
22;30;5;0;0.0;0.0;0.0;0.0;fraca
13;30;7;0;0.0;0.0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;0.0;0.0;fraca
8;0;2;0;0.0;0.0;0.0;0.0;fraca
9;30;5;0;0.0;0.0;0.0;0.0;fraca
22;30;19;0;0.2;0.0;0.0;0.39;fraca
18;0;8;0;0.2;0.0;0.0;0.2;fraca
20;30;16;0;0.0;0.0;0.0;0.0;fraca
6;30;3;0;0.0;0.0;0.0;0.0;fraca
18;0;7;0;0.0;0.0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;0.0;0.0;fraca
10;30;4;0;0.0;0.0;0.0;0.0;fraca
12;0;8;0;0.0;0.0;0.0;0.0;fraca
17;30;26;0;0.0;0.0;0.0;0.0;fraca
17;30;18;0;0.0;0.0;0.0;0.0;fraca
14;30;10;0;0.0;0.0;0.0;0.0;fraca
2;0;0;0;0.0;0.0;0.0;0.0;fraca
23;30;7;0;0.0;0.0;0.0;0.0;fraca
23;30;1;0;0.0;0.0;0.0;0.0;fraca
0;30;5;0;0.0;0.0;0.0;0.0;fraca
4;0;0;0;0.0;0.0;0.0;0.0;fraca
19;0;8;0;0.0;0.0;0.0;0.0;fraca
23;0;6;0;0.0;0.0;0.0;0.0;fraca
21;0;8;0;0.0;0.0;0.0;0.0;fraca
2;0;6;0;0.0;0.0;0.0;0.0;fraca
15;30;6;0;0.0;0.0;0.0;0.0;fraca
12;30;16;0;0.0;0.0;0.0;0.0;fraca
17;30;0;0;0.0;0.0;0.0;0.0;fraca
2;0;4;0;0.0;0.0;0.0;0.0;fraca
18;0;19;0;0.0;0.0;0.0;0.0;fraca
13;0;7;0;0.0;0.0;0.0;0.0;fraca
22;30;16;0;0.0;0.0;0.0;0.0;fraca
17;0;10;0;0.0;0.0;0.0;0.0;fraca
3;30;1;0;0.0;0.0;0.0;0.0;fraca
6;30;0;0;0.4;0.0;0.0;0.0;fraca
19;0;12;0;0.0;0.0;0.0;0.0;fraca
21;30;8;0;0.0;0.0;0.0;0.0;fraca
14;30;14;0;0.0;0.0;0.0;0.0;fraca
19;0;7;0;0.0;0.0;0.0;0.0;fraca
2;30;0;0;0.2;0.0;0.0;0.2;fraca
21;30;3;0;0.0;0.0;0.0;0.0;fraca
2;30;2;0;0.0;0.0;0.0;0.0;fraca
5;0;1;0;0.0;0.0;0.0;0.0;fraca
1;0;0;0;0.0;0.0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;0.0;0.0;fraca
19;30;27;0;0.0;0.0;0.0;0.0;fraca
23;0;3;0;0.0;0.0;0.0;0.0;fraca
11;30;17;0;0.2;0.0;0.0;0.0;fraca
17;30;7;0;0.0;0.0;0.0;0.2;fraca
7;30;6;0;0.0;0.0;0.0;0.0;fraca
5;0;2;0;0.0;0.0;0.0;0.0;fraca
17;30;10;0;0.0;0.0;0.0;0.0;fraca
1;30;3;0;0.0;0.0;0.0;0.0;fraca
7;30;2;0;0.0;0.0;0.0;0.0;fraca
6;30;0;0;0.0;0.0;0.0;0.0;fraca
1;30;2;0;0.0;0.0;0.0;0.0;fraca
7;0;3;0;0.0;0.0;0.0;0.0;fraca
18;30;9;0;0.0;0.0;0.0;0.0;fraca
23;30;1;0;0.0;0.0;0.0;0.4;fraca
13;30;2;0;0.0;0.0;0.0;0.0;fraca
9;0;3;0;0.0;0.0;0.0;0.0;fraca
22;0;3;0;0.0;0.0;0.0;0.0;fraca
8;0;4;1;0.2;4.143978385008743e-06;0.0016129032258064516;0.0;fraca
14;30;5;0;0.0;0.0;0.0;0.0;fraca
16;0;5;0;0.0;0.0;0.0;0.4;fraca
2;30;1;0;0.0;0.0;0.0;0.0;fraca
14;30;18;0;0.0;0.0;0.0;0.0;fraca
3;30;0;0;0.0;0.0;0.0;0.0;fraca
7;0;2;0;0.0;0.0;0.0;0.0;fraca
12;30;6;0;0.0;0.0;0.0;0.0;fraca
10;30;5;0;0.0;0.0;0.0;0.0;fraca
12;0;7;0;0.0;0.0;0.0;0.0;fraca
2;0;0;0;0.0;0.0;0.0;0.0;fraca
14;30;2;0;0.0;0.0;0.0;0.0;fraca
16;30;1;0;0.0;0.0;0.0;4.92;moderada
11;0;10;0;0.0;0.0;0.0;0.0;fraca
19;30;7;0;0.0;0.0;0.0;0.0;fraca
23;0;5;0;0.0;0.0;0.0;0.0;fraca
3;0;1;0;0.0;0.0;0.0;0.0;fraca
22;0;11;0;3.35;0.0;0.0;0.2;fraca
10;30;1;0;0.0;0.0;0.0;0.0;fraca
